feature,weight,direction
http,4.563422019948919,spam_positive
no,2.564063648898897,spam_positive
your,2.165849143825861,spam_positive
net,2.031290461287526,spam_positive
here,1.9720219863518875,spam_positive
more,1.8365809595481934,spam_positive
www,1.821287417084386,spam_positive
click,1.793001091485492,spam_positive
email,1.7766485357328339,spam_positive
linux,1.7752696805629615,spam_positive
http www,1.698145880400563,spam_positive
2002,1.660681208012045,spam_positive
money,1.6079460121009828,spam_positive
html,1.5401764386217625,spam_positive
click here,1.5235449919284922,spam_positive
de,1.5160667858274406,spam_positive
now,1.4863727175862027,spam_positive
only,1.4282713799682705,spam_positive
free,1.4251965203038164,spam_positive
world,1.3953794990628088,spam_positive
it,1.3874069772359026,spam_positive
life,1.3734080045455626,spam_positive
listinfo,1.3128038311314234,spam_positive
adobe,1.3049876117462462,spam_positive
you,1.2980719766091309,spam_positive
remove,1.253199514989989,spam_positive
never,1.2380528758522975,spam_positive
our,1.230397192107628,spam_positive
out,1.221321822537014,spam_positive
mailman listinfo,1.2058709999303026,spam_positive
enron,-4.833901477041808,ham_negative
vince,-2.6806175626438127,ham_negative
2001,-2.4480091602611074,ham_negative
will,-2.3644359603120995,ham_negative
ect,-2.3570195747965794,ham_negative
the,-2.2705310692048855,ham_negative
thanks,-2.250502360574814,ham_negative
2000,-2.204994629767489,ham_negative
attached,-2.1606093164381743,ham_negative
713,-2.094975297396741,ham_negative
please,-2.086804504553,ham_negative
louise,-1.953383868700569,ham_negative
on,-1.9208254907083695,ham_negative
to,-1.725074026699223,ham_negative
enron com,-1.7090436279438177,ham_negative
am,-1.705244156514677,ham_negative
energy,-1.6749423195154611,ham_negative
deal,-1.6599813707915025,ham_negative
gas,-1.548129656711002,ham_negative
meeting,-1.515381744320736,ham_negative
let,-1.4727780564812918,ham_negative
power,-1.4659177592509613,ham_negative
me know,-1.44531720079471,ham_negative
will be,-1.441074028093031,ham_negative
houston,-1.4296368989275567,ham_negative
questions,-1.4246870079977363,ham_negative
let me,-1.4079448578043914,ham_negative
for,-1.4008653760862364,ham_negative
subject,-1.385982492102935,ham_negative
message from,-1.3208831172843252,ham_negative
